Provinsi,Menara Telepon,Sinyal Internet
ACEH,1753,7000
BALI,1368,700
BANTEN,2404,2000
BENGKULU,563,2000
DAERAH ISTIMEWA YOGYAKARTA,912,600
DKI JAKARTA,1066,226
GORONTALO,352,857
JAMBI,1113,1603
JAWA BARAT,9752,6090
JAWA TENGAH,7738,9374
JAWA TIMUR,7628,8637
KALIMANTAN BARAT,1551,3768
KALIMANTAN SELATAN,1371,2404
KALIMANTAN TENGAH,891,2750
KALIMANTAN TIMUR,1486,1389
KALIMANTAN UTARA,301,893
KEPULAUAN BANGKA BELITUNG,688,379
KEPULAUAN RIAU,642,579
LAMPUNG,2022,2584
MALUKU,596,1884
MALUKU UTARA,332,1769
NUSA TENGGARA BARAT,1425,1065
NUSA TENGGARA TIMUR,1177,4696
PAPUA,608,4729
PAPUA BARAT,372,2262
RIAU,1934,1934
SULAWESI BARAT,286,704
SULAWESI SELATAN,1968,2347
SULAWESI TENGAH,843,2514
SULAWESI TENGGARA,658,2632
SULAWESI UTARA,830,2014
SUMATERA BARAT,1449,1209
SUMATERA SELATAN,1943,3629
SUMATERA UTARA,3889,6271
